content,time,gender,user_level,score
别说了哪吒太帅了,15708455400,1,2,10
陪女儿一起看的，开心就好,15708451800,2,1,8
生硬的情节，烂俗的道理，无意义的鸡汤和故作夸张的情绪，不美的人物。,15708445800,2,3,2
好看，后面挺感人的，,15708444000,0,2,10
很不错期待下一部,15708443400,0,3,10
巨爱，我哪吒也太帅了！！！,15708443400,2,2,10
挺好看，值得一看,15708442200,0,1,10
真的挺好看的   没想到哪吒和敖丙是CP   剧情也还可以,15708438000,0,2,10
不错、希望下部一样好,15708438000,1,3,9
可以的，不知道,15708436200,1,2,9
非常完美，看了2遍，为数不多让我二刷的电影哦！赞赞赞！,15708418800,2,3,10
说我命由我不由天的应该是申公豹,15708418200,0,3,10
很好，，，，,15708414600,2,1,10
特别的震撼，很好看,15708411000,0,3,10
方方面面的，都挺好的，就是和原著有点不太像,15708408600,1,4,9
整体效果很好，也很有意义，挺喜欢的,15708405000,0,2,7
不错，不错，国漫的崛起,15708401400,0,2,8
本来觉得哪吒真的是丑爆了，但看了之后觉得寓意深刻，深深触动人心深处。很棒,15708399000,0,3,10
果然不负我的期望，非常值得一看,15708397800,2,4,10
我不认命，我的命我自己说了算,15708390000,2,2,10
还用说什么吗,15708390000,1,3,9
十分的好看。,15708386400,2,2,10
小孩子真的烦死，**家长,15708379200,1,2,10
好看，特别感动,15708379200,2,2,10
十分好看。。,15708340200,2,1,10
很好的一部电影，值得观看,15708339600,0,2,9
好看，领孩子一起看的,15708328800,2,1,10
还不错，，，，,15708327000,1,2,10
还行吧还行吧,15708307800,1,2,9
必须大赞中国特效,15708287400,2,3,10
好看好看好看,15708246000,0,3,10
一般，符合预期,15708165000,0,2,8
看了下映才想到自己去电影院看了，没有开评论，作品很棒，期待以后的新作～加油,15708163200,2,2,10
好看好看好看,15708126600,1,2,10
很好看，非常喜欢,15708117600,1,3,10
赞！很感人，内涵十足的电影,15708109200,0,3,10
有的有的，特效感人啊哈哈😄   国产新生巨星，可以了解下！,15708103200,1,2,10
支持国产 中国电影加油,15708100200,2,2,10
很好看值得推荐,15708094800,0,2,10
中国动画的崛起，跟大圣归来一样在尝试中国的风格,15708094800,0,3,10
确实是不错，硬伤还是在剧本，大致题材可以说是逆天改命，很成功，但是也很失败，放的太轻，效果来说达到了，只要剧本刻画上编剧编排下点苦工必将成为超越,15708093600,1,2,8
好看好看好看,15708084600,1,1,10
完美，好看。影院挺舒服,15708078600,1,3,10
好看真好看。,15708073200,0,2,10
好看，太喜欢了,15708072600,0,2,10
很不错很棒的国产动画电影,15708069000,2,2,10
怎么说呢，是个好动漫，但没有理想中评分的那个高度，虽然也是用的老题材吧，但剧情还是挺新意的，旁边的小盆友看的很开心，笑个不停，反正...开心就完事了。,15708064800,1,2,8
废话不多，就是好,15708058200,2,2,10
真的不错哦哦哦哦,15708055200,1,3,8
很不错，，，,15708048000,2,3,10
除特效比较突出之外就没有任何好的地方，太乙真人与哪吒的形象被严重丑化，而且为什么要三年之后才放天雷摧毁魔丸？纯属是故意引出剧情，申公豹的出身根本没交代明白，至于敖丙在影片里就是个杀人狂，为什么把他写那么深情可怜？不明白这种影片怎么胆敢拿去挑战奥斯卡奖，我感觉大圣归来，白蛇缘起，千与千寻跟他比起来都强很多！.,15708046800,0,4,10
挺好的，就是没看过瘾,15708045000,1,2,9
好看好看(｡･ω･｡)ﾉ♡,15708041400,2,1,10
挺不错的一部电影，刷新了对哪吒的认知,15708034200,2,2,10
很好看，但是也没有大家夸的那么厉害吧,15708031800,0,2,8
不错挺好看！！,15708030000,2,3,10
很好看啊！我太喜欢了,15708028800,0,1,10
感人  搞笑,15708028200,1,2,10
国产动画片。赞,15708025200,1,2,8
很不错，效果很好,15708022800,0,2,10
不错，挺真实的画感。,15708021600,0,2,10
搞笑，萌，燃，炸！,15708021000,0,3,9
好看，特效不错,15708021000,2,2,8
儿子说好看，很好看！！,15708016800,1,3,10
小孩子很喜欢,15708015000,1,3,10
特别喜欢！！！,15708013200,2,1,10
挺不错的啊，哪吒多财多亿,15708008400,0,2,10
值得去看的电影，,15707998800,0,2,10
赞👍孩子们都特别喜欢看，希望会有越来越多的精彩的国产动漫。,15707997000,2,3,10
也算是个里程碑吧,15707996400,1,4,9
很好，动画设计新颖，画面感强！,15707995800,1,2,10
好看，好看😊,15707994000,1,2,10
很好，很有感觉哦,15707993400,1,2,10
好看，搞笑，也感人，宝宝也喜欢看,15707993400,0,2,10
加油国漫棒！！！,15707989200,0,2,10
中国动漫越来越好了，我国越来越强大了,15707985000,1,2,10
很不错很不错,15707983800,2,2,10
感人，全程泪点,15707980800,0,2,8
很有深度的电影,15707976000,2,1,10
国漫巅峰   饺子定能再创辉煌,15707975400,0,2,10
挺好看的 很喜欢,15707974800,2,2,10
还不错，搞笑又精彩,15707974800,0,2,10
好，教育是改变的根本,15707971800,1,2,10
国产动画片拍成这样真是厉害了,15707969400,2,2,10
剧情，还是有点落俗套,15707967600,2,2,8
太紧凑了没看懂→_→,15707964000,0,1,7
